시도,시군구,변전소,재생e_여유용량_MW
서울특별시,금천구,시흥,0
서울특별시,금천구,신광명,0
서울특별시,영등포구,구로#2(건설중),0
서울특별시,영등포구,노들,0
서울특별시,영등포구,대림,0
서울특별시,영등포구,목동,0
서울특별시,영등포구,문래,0
서울특별시,영등포구,신광명,0
서울특별시,영등포구,양천,0
서울특별시,영등포구,양평,0
서울특별시,영등포구,여의,0
서울특별시,영등포구,영오,0
서울특별시,영등포구,의사당,0
서울특별시,동작구,노량진,0
서울특별시,동작구,사당,0
서울특별시,동작구,신광명,0
서울특별시,동작구,신길,0
서울특별시,관악구,봉천,0
서울특별시,관악구,사당,0
서울특별시,관악구,신길,0
서울특별시,관악구,신림,0
서울특별시,서초구,개포,0
서울특별시,서초구,교대,0
서울특별시,서초구,논일,0
서울특별시,서초구,반포,0
서울특별시,서초구,사당,0
서울특별시,서초구,서초,0
서울특별시,서초구,수서,0
서울특별시,서초구,신림,0
서울특별시,서초구,염곡,0
서울특별시,서초구,이수,0
서울특별시,강남구,논현,0
서울특별시,강남구,대치,0
서울특별시,강남구,도곡,0
서울특별시,강남구,동서울,0
서울특별시,강남구,선릉,0
서울특별시,강남구,수서,0
서울특별시,강남구,신사(SA),0
서울특별시,강남구,역삼,0
서울특별시,강남구,탄천,0
서울특별시,송파구,가락,0
서울특별시,송파구,강동,0
서울특별시,송파구,동남,35
서울특별시,송파구,동서울,0
서울특별시,송파구,석촌,0
서울특별시,송파구,송파,0
서울특별시,송파구,수서,0
서울특별시,송파구,잠실,0
서울특별시,송파구,풍납,0
서울특별시,강동구,강동,0
서울특별시,강동구,동서울,0
서울특별시,강동구,천호,0
전남광주통합특별시,목포시,목포,560
전남광주통합특별시,목포시,북항,0
전남광주통합특별시,여수시,소라,0
전남광주통합특별시,여수시,시종(건설중),0
전남광주통합특별시,여수시,여수,0
전남광주통합특별시,여수시,여천,0
전남광주통합특별시,여수시,용성,0
전남광주통합특별시,여수시,율촌,0
전남광주통합특별시,여수시,화치,0
전남광주통합특별시,순천시,광양,0
전남광주통합특별시,순천시,구례,60
전남광주통합특별시,순천시,백운,0
전남광주통합특별시,순천시,서순천,0
전남광주통합특별시,순천시,세풍,0
전남광주통합특별시,순천시,순천,0
전남광주통합특별시,순천시,승주,0
전남광주통합특별시,순천시,율촌,0
전남광주통합특별시,나주시,154KV 나주,0
전남광주통합특별시,나주시,금천,0
전남광주통합특별시,나주시,엄다,0
전남광주통합특별시,나주시,왕곡,0
전남광주통합특별시,광양시,광양,0
전남광주통합특별시,광양시,광양항,0
전남광주통합특별시,광양시,백운,0
전남광주통합특별시,광양시,세풍,0
전남광주통합특별시,광양시,태금,0
전남광주통합특별시,광양시,하동(SA),0
전남광주통합특별시,동구,계림,0
전남광주통합특별시,동구,소태,0
전남광주통합특별시,동구,충장,0
전남광주통합특별시,서구,매월,0
전남광주통합특별시,서구,북광주,0
전남광주통합특별시,서구,충장,0
전남광주통합특별시,서구,화정,0
전남광주통합특별시,남구,금천,0
전남광주통합특별시,남구,남광주,0
전남광주통합특별시,남구,매월,0
전남광주통합특별시,남구,소태,0
전남광주통합특별시,남구,충장,0
전남광주통합특별시,북구,계림,0
전남광주통합특별시,북구,담양,120
전남광주통합특별시,북구,북광주,0
전남광주통합특별시,북구,일곡,0
전남광주통합특별시,북구,장성,0
전남광주통합특별시,북구,첨단,0
전남광주통합특별시,북구,충장,0
전남광주통합특별시,광산구,덕림,0
전남광주통합특별시,광산구,북광주,0
전남광주통합특별시,광산구,송정,135
전남광주통합특별시,광산구,수완,130
전남광주통합특별시,광산구,첨단,0
전남광주통합특별시,광산구,하남,0
전남광주통합특별시,광산구,흑석,130
전남광주통합특별시,담양군,계림,0
전남광주통합특별시,담양군,담양,120
전남광주통합특별시,곡성군,곡성,0
전남광주통합특별시,곡성군,순창,610
전남광주통합특별시,곡성군,승주,0
전남광주통합특별시,구례군,구례,60
전남광주통합특별시,고흥군,고흥,0
전남광주통합특별시,고흥군,광양,0
전남광주통합특별시,고흥군,득량(건설중),0
전남광주통합특별시,고흥군,벌교,0
전남광주통합특별시,고흥군,포두(건설중),0
전남광주통합특별시,보성군,광양,0
전남광주통합특별시,보성군,득량(건설중),0
전남광주통합특별시,보성군,벌교,0
전남광주통합특별시,보성군,보성,0
전남광주통합특별시,화순군,화순,0
전남광주통합특별시,장흥군,보성,0
전남광주통합특별시,해남군,남창,0
전남광주통합특별시,해남군,해남,0
전남광주통합특별시,해남군,화원,0
전남광주통합특별시,영암군,남악,810
전남광주통합특별시,영암군,대불,0
전남광주통합특별시,영암군,삼호,0
전남광주통합특별시,영암군,시종(건설중),0
전남광주통합특별시,영암군,영암,0
전남광주통합특별시,무안군,남악,810
전남광주통합특별시,무안군,목포,560
전남광주통합특별시,무안군,서운남S/Y,0
전남광주통합특별시,무안군,엄다,0
전남광주통합특별시,무안군,운남,0
전남광주통합특별시,함평군,덕림,0
전남광주통합특별시,함평군,엄다,0
전남광주통합특별시,영광군,남고창(건설중),0
전남광주통합특별시,영광군,서영광(건설중),0
전남광주통합특별시,영광군,영광,0
전남광주통합특별시,영광군,홍농,0
전남광주통합특별시,장성군,덕림,0
전남광주통합특별시,장성군,장성,0
전남광주통합특별시,장성군,첨단,0
전남광주통합특별시,완도군,고흥,0
전남광주통합특별시,완도군,완도,0
전남광주통합특별시,진도군,진도,0
전남광주통합특별시,신안군,북항,0
전남광주통합특별시,신안군,서운남S/Y,0
전남광주통합특별시,신안군,안좌 (154KV),0
전남광주통합특별시,신안군,운남,0
전남광주통합특별시,신안군,운남#2(건설중),1095
부산광역시,중구,서부산,0
부산광역시,서구,부민,0
부산광역시,서구,부산,0
부산광역시,서구,서부산,0
부산광역시,동구,범일,0
부산광역시,동구,부민,0
부산광역시,동구,부산,0
부산광역시,부산광역시동구,부산항(건설중),0
부산광역시,동구,서부산,0
부산광역시,동구,수정,0
부산광역시,영도구,서부산,0
부산광역시,영도구,영도,140
부산광역시,부산진구,개금,185
부산광역시,부산진구,미남,0
부산광역시,부산진구,범일,0
부산광역시,부산진구,범천,190
부산광역시,부산진구,서면,0
부산광역시,부산진구,양정,0
부산광역시,동래구,동래,0
부산광역시,동래구,명장(SA),0
부산광역시,동래구,미남,0
부산광역시,동래구,신양산,45
부산광역시,동래구,연산,0
부산광역시,남구,대연,0
부산광역시,남구,범일,0
부산광역시,남구,용호,0
부산광역시,북구,구포,0
부산광역시,북구,미남,0
부산광역시,북구,북부산,0
부산광역시,북구,호포,0
부산광역시,해운대구,명장(SA),0
부산광역시,해운대구,석대(건설중),0
부산광역시,해운대구,수영,0
부산광역시,해운대구,시랑,0
부산광역시,해운대구,신양산,45
부산광역시,해운대구,연산,0
부산광역시,해운대구,우동,0
부산광역시,해운대구,정보,0
부산광역시,해운대구,좌동(SA),0
부산광역시,사하구,다대,45
부산광역시,사하구,부민,0
부산광역시,사하구,서부산,0
부산광역시,사하구,신평,140
부산광역시,사하구,장림,50
부산광역시,금정구,구서,0
부산광역시,금정구,노포,0
부산광역시,금정구,명장(SA),0
부산광역시,금정구,명지,0
부산광역시,금정구,신양산,45
부산광역시,강서구,김해(SA),0
부산광역시,강서구,녹공,0
부산광역시,강서구,녹산,0
부산광역시,부산광역시강서구,델타(건설중),0
부산광역시,강서구,명지,0
부산광역시,강서구,미음,0
부산광역시,부산광역시강서구,세산,0
부산광역시,강서구,순아,0
부산광역시,강서구,어방,0
부산광역시,강서구,용원,0
부산광역시,강서구,지사,0
부산광역시,연제구,미남,0
부산광역시,연제구,연산,0
부산광역시,수영구,대연,0
부산광역시,수영구,신양산,45
부산광역시,수영구,우동,0
부산광역시,사상구,개금,185
부산광역시,사상구,덕포,230
부산광역시,사상구,모라,265
부산광역시,사상구,북부산,0
부산광역시,사상구,엄궁,170
부산광역시,사상구,학장,175
부산광역시,기장군,기장,0
부산광역시,기장군,명례,0
부산광역시,기장군,시랑,0
부산광역시,기장군,신양산,45
부산광역시,기장군,장안,0
부산광역시,기장군,정관,0
대구광역시,중구,내당,0
대구광역시,중구,동인,0
대구광역시,중구,서침산,0
대구광역시,동구,공평,0
대구광역시,동구,구암,0
대구광역시,동구,반야월,370
대구광역시,동구,봉무,0
대구광역시,동구,산격,0
대구광역시,동구,신경산,0
대구광역시,대구광역시동구,신서E/C,370
대구광역시,동구,안심,400
대구광역시,동구,와촌E/C,655
대구광역시,동구,효목,450
대구광역시,서구,내당,0
대구광역시,서구,와룡,0
대구광역시,서구,팔달,0
대구광역시,남구,봉덕,0
대구광역시,북구,검단,0
대구광역시,북구,관음,0
대구광역시,북구,구암,0
대구광역시,북구,산격,0
대구광역시,북구,서침산,0
대구광역시,북구,신경산,0
대구광역시,북구,침산,0
대구광역시,북구,팔달,0
대구광역시,수성구,남대구,0
대구광역시,수성구,노변,135
대구광역시,수성구,반야월,370
대구광역시,수성구,봉덕,0
대구광역시,수성구,시지(SA),375
대구광역시,수성구,신경산,0
대구광역시,수성구,안심,400
대구광역시,수성구,효목,450
대구광역시,달서구,강창,0
대구광역시,달서구,고령,0
대구광역시,달서구,다사,90
대구광역시,달서구,달서,105
대구광역시,달서구,달성,0
대구광역시,달서구,두류,0
대구광역시,달서구,상인(SA),0
대구광역시,달서구,성서,195
대구광역시,달서구,월배,120
대구광역시,달성군,고령,0
대구광역시,달성군,구지,0
대구광역시,달성군,논공,0
대구광역시,달성군,다사,90
대구광역시,달성군,달성,0
대구광역시,달성군,동구지(건설중),0
대구광역시,달성군,명곡,535
대구광역시,달성군,유가,605
대구광역시,달성군,현풍(SA),615
대구광역시,군위군,군위,0
대구광역시,군위군,산동,0
인천광역시,중구,남인천,0
인천광역시,중구,송월,0
인천광역시,중구,신가좌,0
인천광역시,동구,송현,0
인천광역시,동구,신가좌,0
인천광역시,동구,인천,0
인천광역시,미추홀구,관교,0
인천광역시,미추홀구,신가좌,0
인천광역시,미추홀구,신현,0
인천광역시,미추홀구,인천,0
인천광역시,미추홀구,주안,0
인천광역시,미추홀구,학익,0
인천광역시,연수구,남동,0
인천광역시,연수구,동송도,0
인천광역시,연수구,북송도,0
인천광역시,연수구,서송도,0
인천광역시,연수구,송도,0
인천광역시,연수구,송도#6(건설중),0
인천광역시,연수구,신가좌,0
인천광역시,연수구,신송도,0
인천광역시,연수구,아암(건설중),0
인천광역시,연수구,연수,0
인천광역시,남동구,고잔,0
인천광역시,남동구,관교,0
인천광역시,남동구,구월(건설중),0
인천광역시,남동구,남동,0
인천광역시,남동구,도림,0
인천광역시,남동구,동춘,0
인천광역시,남동구,만수,0
인천광역시,남동구,소래,0
인천광역시,남동구,신가좌,0
인천광역시,남동구,오봉,0
인천광역시,남동구,주안,0
인천광역시,부평구,갈산,0
인천광역시,부평구,부개,0
인천광역시,부평구,부흥,0
인천광역시,부평구,신가좌,0
인천광역시,부평구,신부평,0
인천광역시,부평구,주안,0
인천광역시,부평구,청천,0
인천광역시,계양구,계양,0
인천광역시,계양구,신부평,0
인천광역시,계양구,임학,0
인천광역시,계양구,중동,0
인천광역시,계양구,청천,0
인천광역시,서구,경서,0
인천광역시,서구,계양,0
인천광역시,서구,김포,0
인천광역시,서구,마전(건설중),0
인천광역시,서구,북인천,0
인천광역시,서구,불로,0
인천광역시,서구,서청라(건설중),0
인천광역시,서구,송현,0
인천광역시,서구,신가좌,0
인천광역시,서구,신현,0
인천광역시,서구,양촌,0
인천광역시,서구,왕길,0
인천광역시,서구,원창,0
인천광역시,서구,장기,0
인천광역시,서구,청라,0
인천광역시,강화군,강화,0
인천광역시,강화군,서강화,0
대전광역시,대전광역시동구,남대전,0
대전광역시,동구,동대전,185
대전광역시,동구,신계룡,0
대전광역시,동구,신흥,0
대전광역시,동구,용운,0
대전광역시,중구,신계룡,0
대전광역시,대전광역시중구,유천,0
대전광역시,서구,가수원,0
대전광역시,서구,둔산,30
대전광역시,서구,둔지,190
대전광역시,서구,서대전,0
대전광역시,서구,세종,265
대전광역시,서구,신계룡,0
대전광역시,서구,청양,0
대전광역시,유성구,대덕,220
대전광역시,유성구,덕진,30
대전광역시,유성구,둔곡,205
대전광역시,유성구,세종,265
대전광역시,유성구,송강,205
대전광역시,유성구,신계룡,0
대전광역시,유성구,용계(건설중),0
대전광역시,유성구,유성,30
대전광역시,유성구,청양,0
대전광역시,대덕구,대화,0
대전광역시,대덕구,세종,265
대전광역시,대덕구,신일,245
대전광역시,대덕구,신탄진,130
대전광역시,대덕구,청양,0
울산광역시,중구,북울산,0
울산광역시,중구,태화,0
울산광역시,중구,효문,0
울산광역시,남구,두왕,0
울산광역시,남구,매암,0
울산광역시,울산광역시남구,성암개폐소,0
울산광역시,남구,옥동,0
울산광역시,남구,용연,0
울산광역시,남구,울산,0
울산광역시,동구,방어진,0
울산광역시,동구,산하,740
울산광역시,북구,매곡,20
울산광역시,북구,방어진,0
울산광역시,북구,북울산,0
울산광역시,북구,산하,740
울산광역시,북구,효문,0
울산광역시,울주군,당월,0
울산광역시,울주군,두왕,0
울산광역시,울주군,명례,0
울산광역시,울주군,반천,0
울산광역시,울주군,언양,0
울산광역시,울주군,온산,0
울산광역시,울주군,울주,0
울산광역시,울주군,웅촌,0
울산광역시,울주군,장안,0
울산광역시,울주군,직동,0
울산광역시,울주군,처용,0
세종특별자치시,세종시,동세종(건설중),0
세종특별자치시,세종특별자치시,부강,125
세종특별자치시,세종시,북세종(건설중),0
세종특별자치시,세종특별자치시,서세종,0
세종특별자치시,세종특별자치시,세종,265
세종특별자치시,세종특별자치시,월산,260
세종특별자치시,세종특별자치시,전의,195
세종특별자치시,세종특별자치시,조치원,240
경기도,수원시장안구,우만,0
경기도,수원시장안구,율전,0
경기도,수원시장안구,의왕,0
경기도,수원시권선구,권선(건설중),0
경기도,수원시권선구,남수원,0
경기도,수원시권선구,당수(건설중),0
경기도,수원시권선구,봉담,65
경기도,수원시권선구,서수원,0
경기도,수원시권선구,호매실,0
경기도,수원시팔달구,우만,0
경기도,수원시팔달구,율전,0
경기도,수원시영통구,농서,0
경기도,수원시영통구,동수원#2(건설중),0
경기도,수원시영통구,신갈,0
경기도,수원시영통구,이의,0
경기도,성남시수정구,동판교,0
경기도,성남시수정구,중원,0
경기도,성남시중원구,성현,0
경기도,성남시중원구,야탑,0
경기도,성남시중원구,중원,0
경기도,성남시분당구,동판교,0
경기도,성남시분당구,분당,0
경기도,성남시분당구,서판교,0
경기도,성남시분당구,야탑,0
경기도,성남시분당구,정자,0
경기도,성남시분당구,죽전,0
경기도,의정부시,가능(건설중),0
경기도,의정부시,금오,0
경기도,의정부시,녹양,0
경기도,의정부시,도봉,0
경기도,의정부시,용현,0
경기도,안양시만안구,서안양,0
경기도,안양시만안구,안양,0
경기도,안양시동안구,관양,150
경기도,안양시동안구,동안양,0
경기도,안양시동안구,안양2C/C,0
경기도,안양시동안구,평촌,0
경기도,,고강,0
경기도,,도당,0
경기도,,부개,0
경기도,,부천,0
경기도,,역곡,0
경기도,,원미,0
경기도,,중동,0
경기도,,천왕,0
경기도,광명시,광명,0
경기도,광명시,광일(건설중),0
경기도,광명시,남광명1(건설중),0
경기도,광명시,시흥,0
경기도,광명시,신광명,0
경기도,광명시,천왕,0
경기도,광명시,학온(건설중),0
경기도,평택시,도일(건설중),0
경기도,평택시,동평택(SA),0
경기도,평택시,만호,0
경기도,평택시,방여울,0
경기도,평택시,북장안,0
경기도,평택시,북평택(건설중),0
경기도,평택시,북현덕,0
경기도,평택시,서탄(건설중),0
경기도,평택시,소사벌,0
경기도,평택시,송탄,0
경기도,평택시,오산,0
경기도,평택시,원정,0
경기도,평택시,율북,0
경기도,평택시,진위,0
경기도,평택시,청북,0
경기도,평택시,추팔,0
경기도,평택시,팽성,80
경기도,평택시,포승,0
경기도,평택시,현덕(건설중),0
경기도,평택시,희곡,0
경기도,동두천시,동두천,0
경기도,안산시상록구,남군포,0
경기도,안산시상록구,남안산,150
경기도,안산시상록구,북안산,330
경기도,안산시상록구,성포,685
경기도,안산시상록구,일동,0
경기도,안산시단원구,목내,0
경기도,안산시단원구,반월,250
경기도,안산시단원구,북안산,330
경기도,안산시단원구,사강,0
경기도,안산시단원구,성곡,0
경기도,안산시단원구,성포,685
,,신시화,0
경기도,안산시단원구,안산,0
경기도,안산시단원구,원곡,250
경기도,고양시덕양구,고양,0
경기도,고양시덕양구,금촌,0
경기도,고양시덕양구,능곡,0
경기도,고양시덕양구,신덕은,0
경기도,고양시덕양구,양주,0
경기도,고양시덕양구,원흥,0
경기도,고양시덕양구,일산,0
경기도,고양시덕양구,지도,0
경기도,고양시덕양구,창릉(건설중),0
경기도,고양시일산동구,고양,0
경기도,고양시일산동구,대곡(건설중),0
경기도,고양시일산동구,서일산(건설중),0
경기도,고양시일산동구,송포,0
경기도,고양시일산동구,신덕은,0
경기도,고양시일산동구,일산,0
경기도,고양시일산서구,고양,0
경기도,고양시일산서구,덕이,0
경기도,고양시일산서구,서일산(건설중),0
경기도,고양시일산서구,송포,0
경기도,고양시일산서구,신덕은,0
경기도,고양시일산서구,일산,0
경기도,고양시일산서구,호수,0
경기도,과천시,과천,0
경기도,과천시,북과천(건설중),0
경기도,구리시,구리(SA),0
경기도,구리시,미금,0
경기도,구리시,별내,0
경기도,구리시,진건,0
경기도,남양주시,남양주1(건설중),0
경기도,남양주시,내촌,0
경기도,남양주시,덕소,0
경기도,남양주시,마석,0
경기도,남양주시,미금,0
경기도,남양주시,별내,0
경기도,남양주시,양정,0
경기도,남양주시,왕숙(건설중),0
경기도,남양주시,진건,0
경기도,남양주시,진접,0
경기도,남양주시,평내(건설중),0
경기도,남양주시,현저,0
경기도,남양주시,회천,0
경기도,오산시,금암,200
경기도,오산시,남수원,0
경기도,오산시,동탄,0
경기도,오산시,병점,0
경기도,오산시,삼미,0
경기도,오산시,세교,0
경기도,오산시,오산,0
경기도,오산시,중동탄,0
경기도,오산시,진위,0
경기도,시흥시,과림(건설중),0
경기도,시흥시,광석(건설중),475
경기도,시흥시,남시화,0
경기도,시흥시,남정왕,0
경기도,시흥시,도림,0
경기도,시흥시,동시화,0
경기도,시흥시,배곧(건설중),0
경기도,시흥시,북시화,0
경기도,시흥시,북안산,330
경기도,시흥시,서안양,0
경기도,시흥시,소래,0
경기도,시흥시,시화,0
경기도,시흥시,시흥,0
경기도,시흥시,신광명,0
경기도,시흥시,원곡,250
경기도,시흥시,정왕,65
경기도,시흥시,중시화,0
경기도,군포시,남군포,0
경기도,군포시,산본,0
경기도,군포시,의왕,0
경기도,의왕시,남군포,0
경기도,의왕시,동안양,0
경기도,의왕시,서수원,0
경기도,의왕시,안양2C/C,0
경기도,의왕시,왕송(건설중),0
경기도,의왕시,의왕,0
경기도,하남시,가락,0
경기도,하남시,강동,0
경기도,하남시,교산(건설중),0
경기도,하남시,동서울,0
경기도,하남시,상일,0
경기도,하남시,송파,0
경기도,하남시,신장,0
경기도,하남시,위례,25
경기도,용인시처인구,고림(건설중),0
경기도,용인시처인구,곤지암,0
경기도,용인시처인구,남사,0
경기도,용인시처인구,덕성,0
경기도,용인시처인구,동백,0
경기도,용인시처인구,모현,0
경기도,용인시처인구,북리(건설중),0
경기도,용인시처인구,삼죽,0
경기도,용인시처인구,오천,0
경기도,용인시처인구,용인,0
경기도,용인시기흥구,기흥,0
경기도,용인시기흥구,농서,0
경기도,용인시기흥구,동백,0
경기도,용인시기흥구,마북,0
경기도,용인시기흥구,북동탄,0
경기도,용인시기흥구,북신갈(건설중),0
경기도,용인시기흥구,신갈,0
경기도,용인시기흥구,신용인,0
경기도,용인시기흥구,죽전,0
경기도,용인시기흥구,흥덕,0
경기도,용인시수지구,수지,0
경기도,용인시수지구,신봉,0
경기도,용인시수지구,죽전,0
경기도,파주시,금촌,0
경기도,파주시,남면,0
경기도,파주시,문발,0
경기도,파주시,문산,0
경기도,파주시,백석,0
경기도,파주시,선유,0
경기도,파주시,신덕은,0
경기도,파주시,양주,0
경기도,파주시,용정,0
경기도,파주시,운정,0
경기도,파주시,운정#2(건설중),0
경기도,파주시,월롱,0
경기도,이천시,가남,0
경기도,이천시,곤지암,0
경기도,이천시,부발(건설중),0
경기도,이천시,삼죽,0
경기도,이천시,오천,0
경기도,이천시,율현,0
경기도,이천시,이천,0
경기도,안성시,남안성,0
경기도,안성시,삼죽,0
경기도,안성시,서운,0
경기도,안성시,소사벌,0
경기도,안성시,안성,0
경기도,안성시,지문(건설중),0
경기도,안성시,추곡,0
경기도,김포시,걸포(건설중),0
경기도,김포시,계양,0
경기도,김포시,김포,0
경기도,김포시,북통진(건설중),0
경기도,김포시,소래,0
경기도,김포시,신김포,0
경기도,김포시,양곡,0
경기도,김포시,양촌,0
경기도,김포시,월곶(건설중),0
경기도,김포시,장기,0
경기도,김포시,통진,0
경기도,김포시,학운(건설중),0
경기도,화성시,구문천,0
경기도,화성시,남수원,0
경기도,화성시,남양,0
경기도,화성시,동송산,0
경기도,화성시,동탄,0
경기도,화성시,마도,0
경기도,화성시,발안,0
경기도,화성시,병점,0
경기도,화성시,봉담,65
경기도,화성시,북동탄,0
경기도,화성시,사강,0
경기도,화성시,삼미,0
경기도,화성시,수촌,0
경기도,화성시,양감(건설중),0
경기도,화성시,장덕,0
경기도,화성시,중동탄,0
경기도,화성시,향남,0
경기도,화성시,화성,0
경기도,광주시,곤지암,0
경기도,광주시,번천(건설중),0
경기도,광주시,봉현(건설중),0
경기도,광주시,성현,0
경기도,광주시,오천,0
경기도,광주시,오포,0
경기도,광주시,초월,0
경기도,양주시,남면,0
경기도,양주시,녹양,0
경기도,양주시,덕계,0
경기도,양주시,동두천,0
경기도,양주시,백석,0
경기도,양주시,송우,0
경기도,양주시,양주,0
경기도,양주시,옥정,0
경기도,양주시,은남(건설중),0
경기도,양주시,평내(건설중),0
경기도,양주시,회천,0
경기도,포천시,내촌,0
경기도,포천시,송우,0
경기도,포천시,연일(건설중),0
경기도,포천시,용정,0
경기도,포천시,운천,0
경기도,포천시,진목(건설중),0
경기도,포천시,포천,0
경기도,여주시,가남,0
경기도,여주시,곤지암,0
경기도,여주시,신해(건설중),0
경기도,여주시,여주,0
경기도,여주시,이천,0
경기도,연천군,백학,0
경기도,연천군,전곡,0
경기도,가평군,가평,0
경기도,가평군,내촌,0
경기도,가평군,미금,0
경기도,가평군,서종,410
경기도,가평군,서홍천,80
경기도,양평군,곤지암,0
경기도,양평군,동서울,0
경기도,양평군,서종,410
경기도,양평군,용문(SA),0
경기도,양평군,지제,0
충청북도,청주시상당구,남청주,0
충청북도,청주시상당구,동청주(건설중),0
충청북도,청주시상당구,사직,0
충청북도,청주시상당구,율량,0
충청북도,청주시상당구,청주,0
충청북도,청주시상당구,초정,0
충청북도,청주시서원구,남청주,0
충청북도,청주시서원구,사직,0
충청북도,청주시서원구,죽림,0
충청북도,청주시서원구,청주,0
충청북도,청주시흥덕구,국사,0
충청북도,청주시흥덕구,남청주,0
충청북도,청주시흥덕구,도계2S/S(건설중),0
충청북도,청주시흥덕구,북오송,0
충청북도,청주시흥덕구,북청주,0
충청북도,청주시흥덕구,서오창(건설중),0
충청북도,청주시흥덕구,서청주,0
충청북도,청주시흥덕구,신진천,0
충청북도,청주시흥덕구,신청주,0
충청북도,청주시흥덕구,오송,0
충청북도,청주시청원구,남청주,0
충청북도,청주시청원구,도계2S/S(건설중),0
충청북도,청주시청원구,북청주,0
충청북도,청주시청원구,서오창(건설중),0
충청북도,청주시청원구,신진천,0
충청북도,청주시청원구,오창,0
충청북도,청주시청원구,율량,0
충청북도,청주시청원구,초정,0
충청북도,충주시,감곡,0
충청북도,충주시,금가(건설중),0
충청북도,충주시,북충주,760
충청북도,충주시,서충주(건설중),0
충청북도,충주시,신충주,0
충청북도,충주시,음성,0
충청북도,충주시,장연,30
충청북도,충주시,충주,170
충청북도,충주시,풍동,575
충청북도,제천시,왕암,825
충청북도,제천시,제천,165
충청북도,보은군,보은,0
충청북도,옥천군,옥천,0
충청북도,영동군,영동,0
충청북도,증평군,남청주,0
충청북도,증평군,사리,0
충청북도,진천군,광혜원,0
충청북도,진천군,덕산,100
충청북도,진천군,신진천,0
충청북도,진천군,오창,0
충청북도,진천군,이월(건설중),0
충청북도,진천군,진천,0
충청북도,괴산군,괴산,0
충청북도,괴산군,사담(건설중),0
충청북도,괴산군,사리,0
충청북도,괴산군,신충주,0
충청북도,괴산군,장연,30
충청북도,음성군,감곡,0
충청북도,음성군,광혜원,0
충청북도,음성군,금왕,0
충청북도,음성군,남음성,90
충청북도,음성군,성본,0
충청북도,음성군,신진천,0
충청북도,음성군,신충주,0
충청북도,음성군,음성,0
충청북도,단양군,단양,0
충청남도,천안시동남구,동천안,0
