시도,시군구,읍면동,변전소,전력공급여유_2026,전력공급여유_2027,전력공급여유_2028,전력공급여유_2029,전력공급여유_2030,전력공급여유_2031,전력공급여유_2032,재생e_여유용량_MW,154kV_차단기_전체,154kV_차단기_사용중,154kV_차단기_사용예정,154kV_차단기_여유,345kV_차단기_전체,345kV_차단기_사용중,345kV_차단기_사용예정,345kV_차단기_여유
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,화양,0,0,0,0,0,0,0,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,동대문구,답십리동,용두,80,65,65,5,10,0,0,80,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,동대문구,청량리동,종암,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,동대문구,청량리동,종암,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,동대문구,이문동,휘경,80,65,65,5,10,0,0,80,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,망우동,상봉,205,170,290,255,260,260,245,205,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,중랑구,망우동,신내,210,170,255,225,230,230,215,210,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
서울특별시,성북구,돈암동,돈암,135,145,100,90,95,0,0,135,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,길음동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성북구,길음동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성북구,길음동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성북구,안암동5가,안암,0,0,0,0,0,0,0,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,성북구,보문동7가,장위,0,80,35,30,30,0,0,0,,,,,,,,
서울특별시,성북구,종암동,종암,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,성북구,종암동,종암,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,강북구,번동,노원,85,80,35,30,30,0,0,85,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,강북구,번동,노원,85,80,35,30,30,0,0,85,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,강북구,미아동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,강북구,미아동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,강북구,미아동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,강북구,수유동,수유,185,180,175,160,160,0,0,185,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
서울특별시,도봉구,도봉동,방학,455,415,450,120,180,0,0,455,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,도봉구,쌍문동,쌍문,185,180,175,160,160,0,0,185,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,도봉구,방학동,창동,415,440,440,135,200,0,0,415,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,노원구,공릉동,노원,85,80,35,30,30,0,0,85,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,노원구,공릉동,노원,85,80,35,30,30,0,0,85,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,노원구,공릉동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,노원구,공릉동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,노원구,공릉동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,노원구,공릉동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,노원구,공릉동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,노원구,공릉동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,노원구,공릉동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,노원구,공릉동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,노원구,상계동,상계,260,250,220,140,215,0,0,260,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,노원구,중계동,중계,140,125,275,255,315,315,315,140,8.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0
서울특별시,은평구,신사동,녹번,0,0,0,0,0,0,0,0,6.0,4.0,4.0,-2.0,0.0,0.0,0.0,0.0
서울특별시,은평구,수색동,수색,0,0,0,0,0,0,0,0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,은평구,수색동,수색,0,0,0,0,0,0,0,0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,은평구,신사동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,은평구,신사동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,은평구,신사동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,은평구,신사동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,은평구,신사동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,은평구,신사동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,은평구,수색동,증산SA,0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,서대문구,정동,서대문,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,북가좌동,수색,0,0,0,0,0,0,0,0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,북가좌동,수색,0,0,0,0,0,0,0,0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,봉원동,신촌,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,봉원동,신촌,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,신촌동,연대,0,0,0,0,0,0,145,0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,신촌동,연대,0,0,0,0,0,0,145,0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,충정로2가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,충정로2가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,충정로2가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,충정로2가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,충정로2가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,충정로2가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,서대문구,북아현동,현저,0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,서대문구,북아현동,현저,0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,마포구,가양동,가양,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,가양동,가양,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,망원동,당인리,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,등촌동,등촌,0,0,0,35,35,35,35,0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,마포구,마곡동,마곡,0,0,0,0,0,0,0,0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
서울특별시,마포구,마곡동,마곡,0,0,0,0,0,0,0,0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
